title_ru,title_en,rating_filmru,rating_users,rating_imdb,url
Это твой день,2013,5,6.5,7.3,https://www.film.ru/movies/eto-tvoy-den
Невероятная жизнь Уолтера Митти,The Secret Life of Walter Mitty,5,6.8,7.3,https://www.film.ru/movies/taynaya-zhizn-uoltera-mitti
Цена человека,Il capitale umano,5,6.2,7.2,https://www.film.ru/movies/chelovecheskiy-kapital
Роль,2013,5,6.9,7.1,https://www.film.ru/movies/rol
Анина,Anina,5,5.9,7,https://www.film.ru/movies/anina
Транс,Trance,5,6.1,6.9,https://www.film.ru/movies/trans-0
Росомаха: Начало,Wolverine: Origin,5,6.2,6.7,https://www.film.ru/movies/rosomaha-nachalo
Молода и прекрасна,Jeune & jolie,5,4.1,6.7,https://www.film.ru/movies/moloda-i-prekrasna
Последний рубеж,Homefront,5,6.5,6.5,https://www.film.ru/movies/vnutrenniy-front
В ожидании моря,2013,5,6.3,6.5,https://www.film.ru/movies/v-ozhidanii-morya
Экстрасенс 2: Лабиринты разума,Mindscape,5,6.5,6.4,https://www.film.ru/movies/mindscape
Парклэнд,Parkland,5,5.7,6.4,https://www.film.ru/movies/parklend
Живописный маршрут,Scenic Route,5,6.8,6.4,https://www.film.ru/movies/zhivopisnyy-marshrut
Околофутбола,201316+,5,6.6,6.4,https://www.film.ru/movies/okolofutbola
Мерзлая земля,The Frozen Ground,5,6.1,6.4,https://www.film.ru/movies/merzlaya-zemlya
Как я теперь люблю,How I Live Now,5,6.6,6.4,https://www.film.ru/movies/kak-ya-teper-zhivu
Турбо,Turbo 3D,5,6.6,6.4,https://www.film.ru/movies/turbo
Жестокий ринг,Victor Young Perez,5,6.0,6.3,https://www.film.ru/movies/zhestokiy-ring
На гребне,Drift,5,6.5,6.3,https://www.film.ru/movies/drift
Вот это любовь!,2013,5,6.3,6.2,https://www.film.ru/movies/vot-eto-lyubov
Мебиус,Mobius,5,6.2,6.2,https://www.film.ru/movies/mebius
Эффект колибри,Hummingbird,5,6.3,6.2,https://www.film.ru/movies/effekt-kolibri
Паркер,Parker,5,6.5,6.2,https://www.film.ru/movies/parker
Люблю твою жену,The Right Kind of Wrong,5,5.9,6.1,https://www.film.ru/movies/pravo-na-oshibku
Славные ублюдки,Les salauds,5,6.5,6.1,https://www.film.ru/movies/slavnye-ublyudki
Охотники на ведьм,Hansel & Gretel: Witch Hunters,5,6.7,6.1,https://www.film.ru/movies/ohotniki-na-vedm
Добро пожаловать в ПОП,Pop Redemption,5,6.8,6,https://www.film.ru/movies/dobro-pozhalovat-v-pop
Неправильные копы,Wrong Cops,5,6.1,6,https://www.film.ru/movies/nepravilnye-kopy
Паганини: Скрипач Дьявола,Paganini: The Devil's Violinist,5,6.4,6,https://www.film.ru/movies/paganini-skripach-dyavola
Джастин и рыцари доблести,Justin and the Knights of Valour,5,4.1,6,https://www.film.ru/movies/dzhastin-i-rycari-doblesti
Ку! Кин-дза-дза,20136+,5,5.9,6,https://www.film.ru/movies/ku-kin-dza-dza
Олдбой,Old Boy,5,5.5,5.8,https://www.film.ru/movies/oldboy-0
Ромео и Джульетта,Romeo and Juliet,5,7.3,5.8,https://www.film.ru/movies/romeo-i-dzhuletta-0
Парни из Менильмонтана,Un p'tit gars de Ménilmontant,5,5.5,5.7,https://www.film.ru/movies/un-p-tit-gars-de-m-nilmontant
Предчувствие любви,Presentimientos,5,5.9,5.7,https://www.film.ru/movies/predchuvstvie-lyubvi-0
Я плюю на ваши могилы 2,I Spit on Your Grave 2,5,6.2,5.7,https://www.film.ru/movies/ya-plyuyu-na-vashi-mogily-2
Экзамен для двоих,Admission,5,6.0,5.7,https://www.film.ru/movies/ekzamen-dlya-dvoih
Даю год,I Give It a Year,5,6.2,5.7,https://www.film.ru/movies/dayu-god
Молодые сердца,Love and Honor,5,7.0,5.7,https://www.film.ru/movies/molodye-serdca
Король сафари,Khumba,5,7.6,5.7,https://www.film.ru/movies/kumba
Одержимая,Crush,5,6.7,5.6,https://www.film.ru/movies/oderzhimaya-2
Всеядные,Omnivoros,5,6.4,5.6,https://www.film.ru/movies/vseyadnye
Проклятие Чаки,Curse of Chucky,5,6.5,5.6,https://www.film.ru/movies/proklyatie-chaki
Вулкан страстей,Eyjafjallajökull,5,6.4,5.6,https://www.film.ru/movies/vulkan-strastey
Убойный уикенд,Cottage Country,5,5.9,5.6,https://www.film.ru/movies/uboynyy-uikend
Философы: Урок выживания,The Philosophers,5,5.1,5.6,https://www.film.ru/movies/filosofy
Виктория: История любви,Victoria,5,6.9,5.6,https://www.film.ru/movies/viktoriya-istoriya-lyubvi
Элитное общество,The Bling Ring,5,6.4,5.6,https://www.film.ru/movies/elitnoe-obshchestvo
Большая свадьба,The Big Wedding,5,7.1,5.6,https://www.film.ru/movies/bolshaya-svadba
Призрачный патруль,R.I.P.D.,5,6.5,5.6,https://www.film.ru/movies/ripd
Мэрайа Мунди и шкатулка Мидаса,The Adventurer: The Curse of the Midas Box,5,6.3,5.5,https://www.film.ru/movies/meraya-mundi-i-shkatulka-midasa
+1,+1,5,6.2,5.5,https://www.film.ru/movies/plyus-odin-0
Сезон убийц,Killing Season,5,5.9,5.4,https://www.film.ru/movies/sezon-ubiyc
Одноклассники 2,Grown Ups 2,5,6.5,5.4,https://www.film.ru/movies/odnoklassniki-2
Советник,The Counselor,5,6.5,5.4,https://www.film.ru/movies/sovetnik
Пингвиненок Пороро: Большие гонки,"Pororo, the Racing Adventure",5,6.0,5.3,https://www.film.ru/movies/pororo-gonochnye-priklyucheniya
"Любовь, секс и Лос-Анджелес",Cavemen,5,4.6,5.3,https://www.film.ru/movies/lyubov-seks-i-los-andzheles
Когда я умирала,As I Lay Dying,5,6.1,5.3,https://www.film.ru/movies/kogda-ya-umirala
Колония,The Colony,5,6.8,5.3,https://www.film.ru/movies/koloniya-0
22 минуты,201312+,5,5.4,5.3,https://www.film.ru/movies/22-minuty
Хулиганы 3,Green Street 3: Never Back Down,5,6.3,5.2,https://www.film.ru/movies/huligany-3
Распутин,2013,5,5.7,5.2,https://www.film.ru/movies/rasputin-1
Восьмерка,201312+,5,5.5,5.2,https://www.film.ru/movies/vosmerka
Мертвые 2: Индия,The Dead 2: India,5,6.2,5.1,https://www.film.ru/movies/mertvye-2-indiya
Младенец в подарок,Expecting,5,6.2,5.1,https://www.film.ru/movies/luchshie-podrugi-0
Власть убеждений,The Power of Few,5,6.3,5.1,https://www.film.ru/movies/vlast-ubezhdeniy
Логин,Login,5,5.9,5,https://www.film.ru/movies/login-0
Любовь в большом городе 3,2013,5,5.3,5,https://www.film.ru/movies/lyubov-v-bolshom-gorode-3
Оз: Возвращение в Изумрудный город,Legends of Oz: Dorothy's Return,5,6.4,4.9,https://www.film.ru/movies/legenda-strany-oz-vozvrashchenie-doroti
Добро пожаловать в джунгли,Welcome to the Jungle,5,6.5,4.9,https://www.film.ru/movies/dobro-pozhalovat-v-dzhungli
Лесной патруль,Pelle Politibil pa sporet,5,6.5,4.8,https://www.film.ru/movies/lesnoy-patrul
Мертвец в Тумстоуне,Dead in Tombstone (2013),5,6.2,4.8,https://www.film.ru/movies/mertvec-v-tumstoune
Поцелуй мамочку на ночь,Dark Touch,5,6.0,4.8,https://www.film.ru/movies/poceluy-mamochku-na-noch
Невидимки,2013,5,6.1,4.8,https://www.film.ru/movies/nevidimki
Тарзан,Tarzan,5,4.3,4.8,https://www.film.ru/movies/tarzan-3d
После нашей эры,After Earth,5,6.3,4.8,https://www.film.ru/movies/posle-nashey-ery
Застрявший,Stalled,5,6.7,4.7,https://www.film.ru/movies/zastryavshiy
Отель романтических свиданий,Hotel Normandy,5,5.7,4.7,https://www.film.ru/movies/otel-romanticheskih-svidaniy
Обезьянья лапа,The Monkey's Paw,5,6.3,4.6,https://www.film.ru/movies/obezyanya-lapa
Медсестра 3D,Nurse 3D,5,5.3,4.5,https://www.film.ru/movies/medsestra-3d
Проклятье 3D 2,Sadako 3D 2,5,5.9,4.1,https://www.film.ru/movies/proklyate-2
Пугало,Scarecrow (2013),5,5.5,4.1,https://www.film.ru/movies/pugalo-1
Три мушкетера,2013,5,6.2,3.8,https://www.film.ru/movies/tri-mushketera-5
Каньоны,The Canyons,5,4.9,3.8,https://www.film.ru/movies/kanony
Принцесса-лягушка,Frog Kingdom,5,5.9,3.4,https://www.film.ru/movies/frog-kingdom
Остров везения,2013,5,5.9,3.1,https://www.film.ru/movies/ostrov-vezeniya
Все включено 2,2013,5,5.3,2.9,https://www.film.ru/movies/all-inclusive-ili-vse-vklyucheno-2
Страна хороших деточек,20130+,5,5.0,2.8,https://www.film.ru/movies/strana-horoshih-detochek
Косухи,2013,5,5.4,,https://www.film.ru/movies/kosuhi
Собачий рай,2013,4,6.1,6.8,https://www.film.ru/movies/sobachiy-ray
Теория заговора,Zulu,4,6.5,6.7,https://www.film.ru/movies/zulu
Падение Олимпа,Olympus Has Fallen,4,6.2,6.5,https://www.film.ru/movies/padenie-olimpa
Диалоги,Dialogues,4,5.7,6.3,https://www.film.ru/movies/dialogi
Смерть в сети,The Den,4,5.7,6,https://www.film.ru/movies/smert-v-seti
Хроники ломбарда,Pawn Shop Chronicles,4,5.8,5.9,https://www.film.ru/movies/lombardnye-hroniki
Укради мою жену,Life of Crime,4,5.6,5.8,https://www.film.ru/movies/podmena-1
Гостья,The Host,4,6.1,5.8,https://www.film.ru/movies/gostya
Рыцари королевства Крутизны,Knights of Badassdom,4,6.0,5.6,https://www.film.ru/movies/rycari-korolevstva-krutizny
Одичавшая,Savaged,4,6.3,5.5,https://www.film.ru/movies/odichavshaya
Спасти Санту!,Saving Santa,4,5.6,5.3,https://www.film.ru/movies/spasti-santu
Улики,Evidence,4,5.5,5.3,https://www.film.ru/movies/uliki
Виджай и я,Vijay and I,4,6.3,5.2,https://www.film.ru/movies/vidzhay-i-ya
Галлоуз Хилл,Gallows Hill,4,4.8,5.2,https://www.film.ru/movies/gallouz-hill
Пылающий остров,Java Heat,4,6.1,5.1,https://www.film.ru/movies/goryachaya-shvatka
Сарила: Затерянная земля 3D,The legend of Sarila/La legende de Sarila,4,5.7,4.9,https://www.film.ru/movies/legenda-o-sarile
Вне времени,Time Traveller,4,6.0,4.6,https://www.film.ru/movies/vne-vremeni-0
Беги,Run,4,5.5,4.6,https://www.film.ru/movies/begi-8
Ничего не бойся,Nothing Left to Fear,4,6.3,4.4,https://www.film.ru/movies/nichego-ne-boysya
Оторвы,Ass Backwards,4,5.6,4.3,https://www.film.ru/movies/obratno-v-zadnicu
Воскрешение,A Resurrection,4,4.3,3.9,https://www.film.ru/movies/voskreshenie-3
Полярный рейс,2013,4,5.9,3.5,https://www.film.ru/movies/polyarnyy-reys
Друзья друзей,2013,4,5.4,2.8,https://www.film.ru/movies/druzya-druzey
7 главных желаний,2013,4,5.6,1.5,https://www.film.ru/movies/7-glavnyh-zhelaniy
Осеан,Oceane,3,6.3,6.8,https://www.film.ru/movies/oceane
Пока еще жива,2013,3,5.0,6,https://www.film.ru/movies/poka-eshche-zhiva
Дед 005,2013,3,5.4,6,https://www.film.ru/movies/ded-005
G.I.JOE: Бросок кобры 2,G.I. Joe: Retaliation,3,5.6,5.7,https://www.film.ru/movies/gijoe-brosok-kobry-2
Техасская резня бензопилой 3D,Texas Chainsaw,3,5.4,4.8,https://www.film.ru/movies/tehasskaya-reznya-benzopiloy-3d
Очень страшное кино 5,Scary Movie 5,3,5.9,3.6,https://www.film.ru/movies/ochen-strashnoe-kino-5
Секс-пленка,sxtape,3,3.3,3.4,https://www.film.ru/movies/sxtape
Фобия,Phobia,3,6.0,3.4,https://www.film.ru/movies/fobiya-0
Рыжий клоун,Gingerclown,3,6.4,3,https://www.film.ru/movies/ryzhiy-kloun
Синевир,2013,3,5.4,3,https://www.film.ru/movies/sinevir-3d
Очень голодные игры,The Starving Games,2,4.8,3.3,https://www.film.ru/movies/ochen-golodnye-igry
Добро пожаловать в Голливуд… Флорида,Welcome to Hollywood… Florida,,,9.6,https://www.film.ru/movies/welcome-to-hollywood-florida
Саломея,Salome,,,9.3,https://www.film.ru/movies/salomeya-8
День Доктора,The Day of the Doctor,,6.5,9.3,https://www.film.ru/movies/den-doktora
А есть ли там театр?,Netavi ik teatri aris?!,,,9.2,https://www.film.ru/movies/est-li-tam-teatr
Иммиграционый юрист: Расколотая свобода,The Immigration Lawyer: Shattered Freedom,,,9.1,https://www.film.ru/movies/the-immigration-lawyer-shattered-freedom
Браконьеры,Poaching Wars,,6.5,9.1,https://www.film.ru/movies/poaching-wars
Двенадцатая ночь,Twelfth Night,,7.1,8.9,https://www.film.ru/movies/dvenadcataya-noch-3
Триколор,Trispalvis,,,8.9,https://www.film.ru/movies/trikolor
Hugh Laurie: Live on the Queen Mary,Hugh Laurie: Live on the Queen Mary,,,8.7,https://www.film.ru/movies/hugh-laurie-live-queen-mary
Банши: Начало,Banshee Origins: Checking In,,5.0,8.7,https://www.film.ru/movies/banshee-origins-checking-in
Закрученный: Нерасказанная история королевского визиря,Twisted: The Untold Story of a Royal Vizier,,7.4,8.6,https://www.film.ru/movies/twisted-the-untold-story-of-a-royal-vizier
Аудиенция,The Audience,,6.7,8.5,https://www.film.ru/movies/audienciya-2
